CN100344016C,,未缴年费,,一种室温下制备硅/碳复合锂离子电池负极材料的方法,,,,2005/9/12,2007/10/17,中国科学院上海硅酸盐研究所,,中国科学院上海硅酸盐研究所,,,,,,,
CN100345324C,,未缴年费,,锂离子电池四氧化三钴负极材料的制备方法,,,,2005/9/6,2007/10/24,天津力神电池股份有限公司,,天津力神电池股份有限公司,,,,,,,
CN100345766C,,授权 | 权利转移,,一种采用低温固相反应制备纳米锂钛氧化物材料的方法,,,,2006/1/6,2007/10/31,山东天骄新能源有限公司,,山东天骄新能源有限公司,,,,,,,
CN100345769C,,未缴年费,,锂离子电池正极材料锰酸锂的一步直接制备法,,,,2006/3/14,2007/10/31,浙江大学,,浙江大学,,,,,,,
CN100346510C,,未缴年费,,表面修饰改性锂离子电池正极材料的制备方法,,,,2005/7/27,2007/10/31,浙江大学,,浙江大学,,,,,,,
CN100346523C,,未缴年费,,锂硫电池,,,,2002/4/19,2007/10/31,三星SDI株式会社,,三星SDI株式会社,,,,,,,
CN100347081C,,未缴年费,,一种包覆碳的磷酸亚铁锂的制备方法,,,,2005/12/29,2007/11/7,上海交通大学,,上海交通大学,,,,,,,
CN100347886C,,未缴年费,,用于碱性二次电池的正电极材料和正电极及其制备方法,,,,2006/1/20,2007/11/7,东南大学,,东南大学,,,,,,,
CN100347887C,,授权,,锂离子二次电池的复合石墨负极材料及其制备方法,,,,2005/4/20,2007/11/7,贝特瑞新材料集团股份有限公司,,贝特瑞新材料集团股份有限公司,,,,,,,
CN100349961C,,未缴年费,,一种聚双苯胺基二硫化物及其制备方法,,,,2006/6/22,2007/11/21,广州大学,,广州大学,,,,,,,
CN100350652C,,授权 | 质押 | 权利转移,,含镍钴的多元金属氧化物的制备方法及对其进行表面包覆修饰的方法,,,,2004/11/3,2007/11/21,天津国安盟固利新材料科技股份有限公司,,天津国安盟固利新材料科技股份有限公司,,,,,,,
CN100350654C,,授权 | 许可,,锂离子电池负极材料及其制备方法,,,,2005/4/20,2007/11/21,贝特瑞新材料集团股份有限公司,,贝特瑞新材料集团股份有限公司,,,,,,,
CN100350668C,,未缴年费 | 权利转移,,软包装锂离子电池的制造方法,,,,2005/3/15,2007/11/21,郑州比克电池有限公司,,郑州比克电池有限公司,,,,,,,
